1740413442.675987 server started (72401): version 3.4, socket /private/tmp/tmux-502/default, protocol 8
1740413442.676022 on Darwin 23.6.0 Darwin Kernel Version 23.6.0: Mon Jul 29 21:14:04 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T8122
1740413442.676029 using libevent 2.1.12-stable select
1740413442.676038 using utf8proc 2.9.0
1740413442.676044 using ncurses 6.5 20240427
1740413442.676459 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1740413442.676462 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1740413442.676465 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1740413442.676469 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1740413442.676472 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1740413442.676476 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1740413442.676480 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1740413442.676483 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1740413442.676487 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1740413442.676490 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1740413442.676494 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1740413442.676497 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1740413442.676501 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1740413442.676505 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1740413442.676508 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1740413442.676512 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1740413442.676515 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1740413442.676519 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1740413442.676523 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1740413442.676526 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1740413442.676530 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1740413442.676534 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1740413442.676537 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1740413442.676541 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1740413442.676544 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1740413442.676548 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1740413442.676551 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1740413442.676555 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1740413442.676558 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1740413442.676562 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1740413442.676565 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1740413442.676569 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1740413442.676572 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1740413442.676576 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1740413442.676580 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1740413442.676583 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1740413442.676587 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1740413442.676591 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1740413442.676595 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1740413442.676600 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1740413442.676604 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1740413442.676608 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1740413442.676612 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1740413442.676615 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1740413442.676620 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1740413442.676624 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1740413442.676628 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1740413442.676631 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1740413442.676635 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1740413442.676639 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1740413442.676643 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1740413442.676647 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1740413442.676705 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1740413442.676711 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1740413442.676716 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1740413442.676719 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1740413442.676723 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1740413442.676727 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1740413442.676733 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1740413442.676736 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1740413442.676740 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1740413442.676746 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1740413442.676751 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1740413442.676756 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1740413442.676762 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1740413442.676765 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1740413442.676770 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1740413442.676773 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1740413442.676777 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1740413442.676782 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1740413442.676785 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1740413442.676789 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1740413442.676793 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1740413442.676797 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1740413442.676801 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1740413442.676804 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1740413442.676808 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1740413442.676812 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1740413442.676816 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1740413442.676819 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1740413442.676823 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1740413442.676827 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1740413442.676831 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1740413442.676834 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1740413442.676839 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1740413442.676844 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1740413442.676848 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1740413442.676854 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1740413442.676860 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1740413442.676864 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1740413442.676869 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1740413442.676874 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1740413442.676878 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1740413442.676883 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1740413442.676887 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1740413442.676891 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1740413442.676895 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1740413442.676898 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1740413442.676902 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1740413442.676906 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1740413442.676910 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1740413442.676914 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1740413442.676917 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1740413442.676921 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1740413442.676925 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1740413442.676929 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1740413442.676932 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1740413442.676943 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1740413442.676947 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1740413442.676951 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1740413442.676955 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1740413442.676958 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1740413442.676962 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1740413442.676966 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1740413442.676970 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1740413442.676973 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1740413442.676977 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1740413442.676981 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1740413442.676984 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1740413442.676988 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1740413442.676992 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1740413442.676995 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1740413442.676999 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1740413442.677003 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1740413442.677008 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1740413442.677012 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1740413442.677016 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1740413442.677020 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1740413442.677024 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1740413442.677027 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1740413442.677032 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1740413442.677036 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1740413442.677039 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1740413442.677043 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1740413442.677047 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1740413442.677051 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1740413442.677056 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1740413442.677060 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1740413442.677063 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1740413442.677067 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1740413442.677071 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1740413442.677074 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1740413442.677078 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1740413442.677082 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1740413442.677086 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1740413442.677089 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1740413442.677093 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1740413442.677097 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1740413442.677101 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1740413442.677104 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1740413442.677108 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1740413442.677112 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1740413442.677116 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1740413442.677120 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1740413442.677133 yylex_token: end at WS
1740413442.677137 yylex_token: bind
1740413442.677142 yylex_token: end at WS
1740413442.677145 yylex_token: -N
1740413442.677150 yylex_token: end at WS
1740413442.677154 yylex_token: Send the prefix key
1740413442.677158 yylex_token: end at WS
1740413442.677161 yylex_token: C-b
1740413442.677166 yylex_token: end at WS
1740413442.677177 yylex_token: send-prefix
1740413442.677183 cmd_parse_build_commands 0:0: bind
1740413442.677188 cmd_parse_build_commands 0:1: -N
1740413442.677192 cmd_parse_build_commands 0:2: Send the prefix key
1740413442.677196 cmd_parse_build_commands 0:3: C-b
1740413442.677200 cmd_parse_build_commands 0:4 0:0: send-prefix
1740413442.677217 cmd_parse_build_commands 0:0: send-prefix
1740413442.677243 args_parse: flags end at 1 of 1
1740413442.677256 cmd_parse_build_commands: send-prefix
1740413442.677262 args_parse_flags: next -N
1740413442.677267 args_parse_flag_argument: -N = Send the prefix key
1740413442.677273 args_parse_flags: next C-b
1740413442.677277 args_parse: flags end at 3 of 5
1740413442.677281 args_parse: 3 = C-b (type STRING)
1740413442.677288 args_parse: 4 = send-prefix (type COMMANDS)
1740413442.677303 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1740413442.677312 cmdq_get_command: [bind-key/0x144e05e40] group 2
1740413442.677317 cmdq_append <global>: [bind-key/0x144e05e40]
1740413442.677330 yylex_token: end at WS
1740413442.677334 yylex_token: bind
1740413442.677339 yylex_token: end at WS
1740413442.677342 yylex_token: -N
1740413442.677347 yylex_token: end at WS
1740413442.677352 yylex_token: Rotate through the panes
1740413442.677356 yylex_token: end at WS
1740413442.677361 yylex_token: C-o
1740413442.677365 yylex_token: end at WS
1740413442.677369 yylex_token: rotate-window
1740413442.677379 cmd_parse_build_commands 0:0: bind
1740413442.677383 cmd_parse_build_commands 0:1: -N
1740413442.677387 cmd_parse_build_commands 0:2: Rotate through the panes
1740413442.677390 cmd_parse_build_commands 0:3: C-o
1740413442.677395 cmd_parse_build_commands 0:4 0:0: rotate-window
1740413442.677401 cmd_parse_build_commands 0:0: rotate-window
1740413442.677406 args_parse: flags end at 1 of 1
1740413442.677411 cmd_parse_build_commands: rotate-window
1740413442.677415 args_parse_flags: next -N
1740413442.677419 args_parse_flag_argument: -N = Rotate through the panes
1740413442.677422 args_parse_flags: next C-o
1740413442.677427 args_parse: flags end at 3 of 5
1740413442.677431 args_parse: 3 = C-o (type STRING)
1740413442.677435 args_parse: 4 = rotate-window (type COMMANDS)
1740413442.677446 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1740413442.677453 cmdq_get_command: [bind-key/0x144e05fb0] group 10
1740413442.677457 cmdq_append <global>: [bind-key/0x144e05fb0]
1740413442.677461 yylex_token: end at WS
1740413442.677465 yylex_token: bind
1740413442.677469 yylex_token: end at WS
1740413442.677472 yylex_token: -N
1740413442.677477 yylex_token: end at WS
1740413442.677480 yylex_token: Suspend the current client
1740413442.677484 yylex_token: end at WS
1740413442.677487 yylex_token: C-z
1740413442.677492 yylex_token: end at WS
1740413442.677495 yylex_token: suspend-client
1740413442.677500 cmd_parse_build_commands 0:0: bind
1740413442.677504 cmd_parse_build_commands 0:1: -N
1740413442.677508 cmd_parse_build_commands 0:2: Suspend the current client
1740413442.677511 cmd_parse_build_commands 0:3: C-z
1740413442.677516 cmd_parse_build_commands 0:4 0:0: suspend-client
1740413442.677522 cmd_parse_build_commands 0:0: suspend-client
1740413442.677528 args_parse: flags end at 1 of 1
1740413442.677533 cmd_parse_build_commands: suspend-client
1740413442.677536 args_parse_flags: next -N
1740413442.677540 args_parse_flag_argument: -N = Suspend the current client
1740413442.677543 args_parse_flags: next C-z
1740413442.677547 args_parse: flags end at 3 of 5
1740413442.677551 args_parse: 3 = C-z (type STRING)
1740413442.677555 args_parse: 4 = suspend-client (type COMMANDS)
1740413442.677565 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1740413442.677571 cmdq_get_command: [bind-key/0x144e06580] group 18
1740413442.677575 cmdq_append <global>: [bind-key/0x144e06580]
1740413442.677579 yylex_token: end at WS
1740413442.677582 yylex_token: bind
1740413442.677586 yylex_token: end at WS
1740413442.677590 yylex_token: -N
1740413442.677604 yylex_token: end at WS
1740413442.677607 yylex_token: Select next layout
1740413442.677611 yylex_token: end at WS
1740413442.677615 yylex_token: Space
1740413442.677619 yylex_token: end at WS
1740413442.677623 yylex_token: next-layout
1740413442.677627 cmd_parse_build_commands 0:0: bind
1740413442.677631 cmd_parse_build_commands 0:1: -N
1740413442.677634 cmd_parse_build_commands 0:2: Select next layout
1740413442.677638 cmd_parse_build_commands 0:3: Space
1740413442.677642 cmd_parse_build_commands 0:4 0:0: next-layout
1740413442.677647 cmd_parse_build_commands 0:0: next-layout
1740413442.677652 args_parse: flags end at 1 of 1
1740413442.677657 cmd_parse_build_commands: next-layout
1740413442.677660 args_parse_flags: next -N
1740413442.677664 args_parse_flag_argument: -N = Select next layout
1740413442.677667 args_parse_flags: next Space
1740413442.677671 args_parse: flags end at 3 of 5
1740413442.677674 args_parse: 3 = Space (type STRING)
1740413442.677679 args_parse: 4 = next-layout (type COMMANDS)
1740413442.677689 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1740413442.677695 cmdq_get_command: [bind-key/0x144e06c60] group 26
1740413442.677698 cmdq_append <global>: [bind-key/0x144e06c60]
1740413442.677702 yylex_token: end at WS
1740413442.677705 yylex_token: bind
1740413442.677709 yylex_token: end at WS
1740413442.677713 yylex_token: -N
1740413442.677717 yylex_token: end at WS
1740413442.677721 yylex_token: Break pane to a new window
1740413442.677724 yylex_token: end at WS
1740413442.677727 yylex_token: !
1740413442.677731 yylex_token: end at WS
1740413442.677735 yylex_token: break-pane
1740413442.677739 cmd_parse_build_commands 0:0: bind
1740413442.677743 cmd_parse_build_commands 0:1: -N
1740413442.677746 cmd_parse_build_commands 0:2: Break pane to a new window
1740413442.677750 cmd_parse_build_commands 0:3: !
1740413442.677753 cmd_parse_build_commands 0:4 0:0: break-pane
1740413442.677758 cmd_parse_build_commands 0:0: break-pane
1740413442.677763 args_parse: flags end at 1 of 1
1740413442.677768 cmd_parse_build_commands: break-pane
1740413442.677771 args_parse_flags: next -N
1740413442.677775 args_parse_flag_argument: -N = Break pane to a new window
1740413442.677778 args_parse_flags: next !
1740413442.677782 args_parse: flags end at 3 of 5
1740413442.677786 args_parse: 3 = ! (type STRING)
1740413442.677790 args_parse: 4 = break-pane (type COMMANDS)
1740413442.677800 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1740413442.677806 cmdq_get_command: [bind-key/0x144e07160] group 34
1740413442.677809 cmdq_append <global>: [bind-key/0x144e07160]
1740413442.677813 yylex_token: end at WS
1740413442.677816 yylex_token: bind
1740413442.677820 yylex_token: end at WS
1740413442.677823 yylex_token: -N
1740413442.677828 yylex_token: end at WS
1740413442.677831 yylex_token: Split window vertically
1740413442.677835 yylex_token: end at WS
1740413442.677838 yylex_token: "
1740413442.677843 yylex_token: end at WS
1740413442.677846 yylex_token: split-window
1740413442.677850 cmd_parse_build_commands 0:0: bind
1740413442.677854 cmd_parse_build_commands 0:1: -N
1740413442.677858 cmd_parse_build_commands 0:2: Split window vertically
1740413442.677862 cmd_parse_build_commands 0:3: "
1740413442.677866 cmd_parse_build_commands 0:4 0:0: split-window
1740413442.677871 cmd_parse_build_commands 0:0: split-window
1740413442.677876 args_parse: flags end at 1 of 1
1740413442.677880 cmd_parse_build_commands: split-window
1740413442.677884 args_parse_flags: next -N
1740413442.677888 args_parse_flag_argument: -N = Split window vertically
1740413442.677891 args_parse_flags: next "
1740413442.677894 args_parse: flags end at 3 of 5
1740413442.677898 args_parse: 3 = " (type STRING)
1740413442.677902 args_parse: 4 = split-window (type COMMANDS)
1740413442.677911 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1740413442.677917 cmdq_get_command: [bind-key/0x144e07510] group 42
1740413442.677920 cmdq_append <global>: [bind-key/0x144e07510]
1740413442.677930 yylex_token: end at WS
1740413442.677934 yylex_token: bind
1740413442.677937 yylex_token: end at WS
1740413442.677941 yylex_token: -N
1740413442.677945 yylex_token: end at WS
1740413442.677949 yylex_token: List all paste buffers
1740413442.677952 yylex_token: end at WS
1740413442.677955 yylex_token: #
1740413442.677959 yylex_token: end at WS
1740413442.677963 yylex_token: list-buffers
1740413442.677967 cmd_parse_build_commands 0:0: bind
1740413442.677971 cmd_parse_build_commands 0:1: -N
1740413442.677974 cmd_parse_build_commands 0:2: List all paste buffers
1740413442.677978 cmd_parse_build_commands 0:3: #
1740413442.677981 cmd_parse_build_commands 0:4 0:0: list-buffers
1740413442.677986 cmd_parse_build_commands 0:0: list-buffers
1740413442.677991 args_parse: flags end at 1 of 1
1740413442.677996 cmd_parse_build_commands: list-buffers
1740413442.677999 args_parse_flags: next -N
1740413442.678003 args_parse_flag_argument: -N = List all paste buffers
1740413442.678006 args_parse_flags: next #
1740413442.678010 args_parse: flags end at 3 of 5
1740413442.678013 args_parse: 3 = # (type STRING)
1740413442.678018 args_parse: 4 = list-buffers (type COMMANDS)
1740413442.678026 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1740413442.678032 cmdq_get_command: [bind-key/0x144e07920] group 50
1740413442.678036 cmdq_append <global>: [bind-key/0x144e07920]
1740413442.678040 yylex_token: end at WS
1740413442.678043 yylex_token: bind
1740413442.678046 yylex_token: end at WS
1740413442.678050 yylex_token: -N
1740413442.678054 yylex_token: end at WS
1740413442.678058 yylex_token: Rename current session
